	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
92	yeast_gpl2529	3.4092834795780904	0.04933255380620028	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_3	-0.20345066952093444
93	yeast_gpl2529	4.178005467963483	0.04136701480435803	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_4	-0.16747187750694167
94	yeast_gpl2529	3.1919119978008683	0.04933255380620028	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_5	-0.269173327451889
95	yeast_gpl2529	3.891581857691942	0.04201809103847823	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_6	-0.19105483042778093
96	yeast_gpl2529	3.0970620891892633	0.051770227375405924	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_7	-0.269958192060643
97	yeast_gpl2529	3.8907749657031734	0.04201809103847823	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_8	-0.2014012300411959
98	yeast_gpl2529	3.0870647914147535	0.051770227375405924	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_9	-0.31968360568106075
99	yeast_gpl2529	3.7940632970910064	0.04396341369823394	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_10	-0.19816030466244508
100	yeast_gpl2529	2.9823834751261966	0.04860690351144575	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_11	-0.32517483856158214
101	yeast_dream5	4.697929222732691	0.03564470126015117	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_0	-0.14106745545579455
102	yeast_dream5	3.3116106500899054	0.04592468981435523	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_1	-0.21144390823157674
103	yeast_dream5	4.674254238201604	0.04087674559669681	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_2	-0.15791688960232617
104	yeast_dream5	3.20194778436676	0.04592468981435523	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_3	-0.2994473550285578
105	yeast_dream5	4.3530289638600985	0.04087674559669681	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_4	-0.17589888861662295
106	yeast_dream5	3.092094166421232	0.04592468981435523	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_5	-0.3430084063365691
107	yeast_dream5	4.436937254679518	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_6	-0.18910459588982761
108	yeast_dream5	3.1678807038842534	0.05023838089888099	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_7	-0.34384213804925867
109	yeast_dream5	4.258496106982872	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_8	-0.19690322998558515
110	yeast_dream5	3.0809807404628677	0.05074733799430276	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_9	-0.32915051160110453
111	yeast_dream5	4.090600772891973	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_10	-0.21709633791672717
112	yeast_dream5	3.0539893851521938	0.05074733799430276	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_11	-0.3430284325170163
113	synth_ecoli_regulondb	5.65368531893696	0.22800639183162974	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_0	-0.0510277857332201
114	synth_ecoli_regulondb	4.695937460512007	0.22634021757757025	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_1	-0.010506418206265702
115	synth_ecoli_regulondb	4.437574057457733	0.23865830842612593	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_2	-0.03284751068445609
116	synth_ecoli_regulondb	3.7448980780911016	0.2263960616483471	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_3	-0.01893272883779899
117	synth_ecoli_regulondb	3.7498486720259887	0.23865830842612593	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_4	-0.01513380138424186
118	synth_ecoli_regulondb	3.16627055621771	0.2263960616483471	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_5	0.005899957359767045
119	synth_ecoli_regulondb	3.261807370708189	0.23898659438079317	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_6	0.00547387680045525
120	synth_ecoli_regulondb	2.7765630070075527	0.23444627528632775	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_7	-0.009201469703084927
121	synth_ecoli_regulondb	2.8879637481706633	0.23898659438079317	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_8	-0.005733613032405043
122	synth_ecoli_regulondb	2.4507165508142337	0.235450622587372	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_9	-0.0050812914895472456
123	synth_ecoli_regulondb	2.635319875792913	0.24974802651418548	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_10	0.00716336095778249
124	synth_ecoli_regulondb	2.236109585057468	0.235450622587372	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_11	0.002557353634267739
125	synth_yeast_macisaac	5.559976498361426	0.1682446327474715	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	synth_yeast_macisaac_0	-0.009485336963384314
126	synth_yeast_macisaac	4.609089414182256	0.1665579567754981	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	synth_yeast_macisaac_1	-0.013730390496445328
127	synth_yeast_macisaac	4.40452480145757	0.17591940516720053	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	synth_yeast_macisaac_2	0.009841909878586493
128	synth_yeast_macisaac	3.493123625413872	0.1665579567754981	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	synth_yeast_macisaac_3	-0.026459507498098663
129	synth_yeast_macisaac	3.6996259980254007	0.17591940516720053	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	synth_yeast_macisaac_4	0.012787726355083384
130	synth_yeast_macisaac	2.9564448253836404	0.16802764705724685	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	synth_yeast_macisaac_5	0.014278912934720512
131	synth_yeast_macisaac	3.199401173051848	0.17591940516720053	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	synth_yeast_macisaac_6	0.007374342204750043
132	synth_yeast_macisaac	2.6125580467729224	0.16802764705724685	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	synth_yeast_macisaac_7	0.02477773120434188
133	synth_yeast_macisaac	2.8807857104334618	0.1891833009699613	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	synth_yeast_macisaac_8	0.013065630304253204
