	Unnamed: 0	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
52	52	ecoli_colombos	2.5458376770151814	0.19383820615773853	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_12	-0.035571875747355305
53	53	ecoli_colombos	2.0651967560398603	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_13	-0.12175531631697672
54	54	ecoli_colombos	2.4306380738128426	0.19383820615773853	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_14	-0.035827414846602165
55	55	ecoli_colombos	1.993902275759209	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_15	-0.11378372740135675
56	56	ecoli_colombos	2.3331932802557067	0.19383820615773853	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_16	-0.03488429707763552
57	57	ecoli_colombos	1.925224565136239	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_17	-0.10783850306822168
58	58	ecoli_colombos	2.2276087541790734	0.20866522963714634	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_18	-0.030110333388347413
59	59	ecoli_colombos	1.8753021877910403	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_19	-0.10182677884242526
60	60	ecoli_colombos	2.156358760263362	0.20866522963714634	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_20	-0.023165603757626687
61	61	ecoli_colombos	1.8173842224112955	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_21	-0.09553229259533054
62	62	ecoli_colombos	2.0708869173154603	0.20866522963714634	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_22	-0.02210012406610452
63	63	ecoli_colombos	1.7812964978280763	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_23	-0.08740883442852121
64	64	ecoli_dream5	4.634000257076098	0.03153594074290337	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_0	-0.11909235155218315
65	65	ecoli_dream5	3.1983916568645223	0.030051265713988657	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_1	-0.20040771330760315
66	66	ecoli_dream5	4.071607766241705	0.03153594074290337	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_2	-0.1760615223580488
67	67	ecoli_dream5	3.1532589209975246	0.03183245982467258	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_3	-0.30396647427832896
68	68	ecoli_dream5	4.0903118948489405	0.03153594074290337	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_4	-0.17765840908372474
69	69	ecoli_dream5	3.0137559145569317	0.03364312827336891	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_5	-0.3182601780120529
70	70	ecoli_dream5	4.000166898587591	0.034222931514990035	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_6	-0.20534578269960224
71	71	ecoli_dream5	2.9809541600160467	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_7	-0.3349886484912165
72	72	ecoli_dream5	3.8009949977638686	0.03655744267933609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_8	-0.20280635014819856
73	73	ecoli_dream5	2.9244513367101015	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_9	-0.34765635032963066
74	74	ecoli_dream5	3.7271515807854896	0.03655744267933609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_10	-0.21908239885160785
75	75	ecoli_dream5	2.9036218963183713	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_11	-0.34647169330752164
76	76	ecoli_dream5	3.6799168070436807	0.03655744267933609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_12	-0.2515560140934728
77	77	ecoli_dream5	2.8360092613325247	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_13	-0.33798232438645576
78	78	ecoli_dream5	3.624825553973504	0.03655744267933609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_14	-0.2619495183868869
79	79	ecoli_dream5	2.824311455998512	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_15	-0.3469322453686277
80	80	ecoli_dream5	3.5889574240583166	0.040521670453206815	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_16	-0.2625105599703991
81	81	ecoli_dream5	2.7647768355523867	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_17	-0.34412365981644416
82	82	ecoli_dream5	3.5331324363113583	0.040521670453206815	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_18	-0.2737464605760728
83	83	ecoli_dream5	2.7198235574691356	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_19	-0.3437259799674262
84	84	ecoli_dream5	3.492028504852198	0.040521670453206815	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_20	-0.2772716993150764
85	85	ecoli_dream5	2.6871852383547874	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_21	-0.3418483631645728
86	86	ecoli_dream5	3.446228252695516	0.040521670453206815	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_22	-0.28745610037541736
87	87	ecoli_dream5	2.614407265643423	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_23	-0.3398724067061205
88	88	yeast_gpl2529	4.399391487300889	0.051681264065774286	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_0	-0.121058545459845
89	89	yeast_gpl2529	3.6738972221153903	0.04933255380620028	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_1	-0.09358336719122624
90	90	yeast_gpl2529	4.423208252919535	0.03591154933611971	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_2	-0.13336563579125496
91	91	yeast_gpl2529	3.4092834795780904	0.04933255380620028	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_3	-0.20345066952093446
92	92	yeast_gpl2529	4.178005467963483	0.04136701480435803	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_4	-0.16747187750694167
93	93	yeast_gpl2529	3.1919119978008683	0.04933255380620028	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_5	-0.269173327451889
94	94	yeast_gpl2529	3.891581857691942	0.04201809103847823	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_6	-0.19105483042778093
95	95	yeast_gpl2529	3.0970620891892637	0.05177022737540592	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_7	-0.269958192060643
96	96	yeast_gpl2529	3.890774965703173	0.04201809103847823	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_8	-0.2014012300411959
97	97	yeast_gpl2529	3.087064791414753	0.05177022737540592	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_9	-0.31968360568106075
98	98	yeast_gpl2529	3.7940632970910064	0.043963413698233936	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_10	-0.19816030466244508
99	99	yeast_gpl2529	2.9823834751261966	0.04860690351144575	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_11	-0.3251748385615821
100	100	yeast_gpl2529	3.606619935865817	0.04474188159863609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_12	-0.19599355397523388
101	101	yeast_gpl2529	2.6853576356241136	0.04860690351144575	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_13	-0.3379881130096
102	102	yeast_gpl2529	3.5374091270331744	0.04474188159863609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_14	-0.19387292314327506
103	103	yeast_gpl2529	2.6147718380951077	0.04860690351144575	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_15	-0.3355332132431047
104	104	yeast_gpl2529	3.4061844069922578	0.04474188159863609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_16	-0.18995359857850452
105	105	yeast_gpl2529	2.5335152810537545	0.04860690351144575	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_17	-0.33464545313982874
106	106	yeast_gpl2529	3.3072957081478878	0.04474188159863609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_18	-0.1860399414700088
107	107	yeast_gpl2529	2.5082601298350258	0.052235316452113184	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_19	-0.3348205182363669
108	108	yeast_gpl2529	3.25510846943927	0.04474188159863609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_20	-0.1943314708434909
109	109	yeast_gpl2529	2.4313880874450966	0.05318478078932664	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_21	-0.3046616633499786
110	110	yeast_gpl2529	3.1282165295670072	0.04476510976908416	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_22	-0.1976479719839576
